WARNING: grid.env NOT FOUND
NO Enviroment
Date: Mon 06 May 2024 01:09:38 PM UTC
Directory: /home/ferrazzi/llm/LS-LLaMA-E3C
This job will be executed on th following nodes: vgpu10-0

/home/ferrazzi/.conda/envs/gpu_venv_lates/bin/python
Python 3.8.18
{'loss': 2.4974, 'grad_norm': 21.75, 'learning_rate': 5e-05, 'epoch': 0.06}
{'loss': 1.8474, 'grad_norm': 17.75, 'learning_rate': 5e-05, 'epoch': 0.12}
{'loss': 1.6923, 'grad_norm': 17.375, 'learning_rate': 5e-05, 'epoch': 0.18}
{'loss': 1.456, 'grad_norm': 16.75, 'learning_rate': 5e-05, 'epoch': 0.24}
{'loss': 1.4268, 'grad_norm': 11.0, 'learning_rate': 5e-05, 'epoch': 0.3}
{'loss': 1.3823, 'grad_norm': 20.125, 'learning_rate': 5e-05, 'epoch': 0.36}
{'loss': 1.2233, 'grad_norm': 18.0, 'learning_rate': 5e-05, 'epoch': 0.42}
{'loss': 1.2162, 'grad_norm': 10.9375, 'learning_rate': 5e-05, 'epoch': 0.48}
{'loss': 1.1438, 'grad_norm': 10.125, 'learning_rate': 5e-05, 'epoch': 0.54}
{'loss': 1.1277, 'grad_norm': 14.3125, 'learning_rate': 5e-05, 'epoch': 0.6}
{'loss': 1.0627, 'grad_norm': 12.75, 'learning_rate': 5e-05, 'epoch': 0.66}
{'loss': 0.9574, 'grad_norm': 11.5, 'learning_rate': 5e-05, 'epoch': 0.72}
{'loss': 1.0105, 'grad_norm': 13.4375, 'learning_rate': 5e-05, 'epoch': 0.78}
{'loss': 0.8871, 'grad_norm': 10.875, 'learning_rate': 5e-05, 'epoch': 0.84}
{'loss': 1.0387, 'grad_norm': 14.8125, 'learning_rate': 5e-05, 'epoch': 0.9}
{'loss': 0.8217, 'grad_norm': 18.375, 'learning_rate': 5e-05, 'epoch': 0.96}
